,n00,n00_name,n01,n01_name,n02,n02_name,score
22,NCBIGene:5465,PPARA,NCBIGene:2147,F2,HP:0001395,Hepatic fibrosis,0.3142406347847761
23,NCBIGene:5465,PPARA,NCBIGene:2147,F2,HP:0001395,Hepatic fibrosis,0.3142406347847761
24,NCBIGene:5465,PPARA,MONDO:0005154,liver disorder,HP:0001405,Periportal fibrosis,0.31418476931410566
25,NCBIGene:5465,PPARA,MONDO:0005154,liver disorder,HP:0001405,Periportal fibrosis,0.31418476931410566
26,NCBIGene:5465,PPARA,NCBIGene:6772,STAT1,HP:0001395,Hepatic fibrosis,0.3076907972122334
27,NCBIGene:5465,PPARA,NCBIGene:6772,STAT1,HP:0001395,Hepatic fibrosis,0.3076907972122334
28,NCBIGene:5465,PPARA,NCBIGene:4780,NFE2L2,HP:0001395,Hepatic fibrosis,0.3026749359577316
29,NCBIGene:5465,PPARA,NCBIGene:4780,NFE2L2,HP:0001395,Hepatic fibrosis,0.3026749359577316
30,NCBIGene:5465,PPARA,MONDO:0005155,cirrhosis of liver,MONDO:0018840,isolated congenital hepatic fibrosis,0.29538228534857325
31,NCBIGene:5465,PPARA,MONDO:0005155,cirrhosis of liver,MONDO:0018840,isolated congenital hepatic fibrosis,0.29538228534857325
32,NCBIGene:5465,PPARA,MONDO:0005155,cirrhosis of liver,MONDO:0018840,isolated congenital hepatic fibrosis,0.29538228534857325
33,NCBIGene:5465,PPARA,MONDO:0005155,cirrhosis of liver,MONDO:0018840,isolated congenital hepatic fibrosis,0.29538228534857325
34,NCBIGene:5465,PPARA,NCBIGene:1356,CP,HP:0001395,Hepatic fibrosis,0.2560607505777259
35,NCBIGene:5465,PPARA,NCBIGene:1356,CP,HP:0001395,Hepatic fibrosis,0.2560607505777259
36,NCBIGene:5465,PPARA,NCBIGene:5972,REN,HP:0001395,Hepatic fibrosis,0.24575295128047003
37,NCBIGene:5465,PPARA,NCBIGene:5972,REN,HP:0001395,Hepatic fibrosis,0.24575295128047003
38,NCBIGene:5465,PPARA,NCBIGene:1277,COL1A1,HP:0001395,Hepatic fibrosis,0.23927538488246433
39,NCBIGene:5465,PPARA,NCBIGene:1277,COL1A1,HP:0001395,Hepatic fibrosis,0.23927538488246433
40,NCBIGene:5465,PPARA,NCBIGene:6696,SPP1,HP:0001395,Hepatic fibrosis,0.23850327661856038
41,NCBIGene:5465,PPARA,NCBIGene:6696,SPP1,HP:0001395,Hepatic fibrosis,0.23850327661856038
42,NCBIGene:5465,PPARA,NCBIGene:7422,VEGFA,HP:0001395,Hepatic fibrosis,0.23599544946430717
43,NCBIGene:5465,PPARA,NCBIGene:7422,VEGFA,HP:0001395,Hepatic fibrosis,0.23599544946430717
44,NCBIGene:5465,PPARA,NCBIGene:183,AGT,HP:0001395,Hepatic fibrosis,0.235449177772326
45,NCBIGene:5465,PPARA,NCBIGene:183,AGT,HP:0001395,Hepatic fibrosis,0.235449177772326
46,NCBIGene:5465,PPARA,NCBIGene:183,AGT,MONDO:0018840,isolated congenital hepatic fibrosis,0.23085690100083772
47,NCBIGene:5465,PPARA,NCBIGene:183,AGT,MONDO:0018840,isolated congenital hepatic fibrosis,0.23085690100083772
48,NCBIGene:5465,PPARA,NCBIGene:183,AGT,MONDO:0018840,isolated congenital hepatic fibrosis,0.23085690100083772
49,NCBIGene:5465,PPARA,NCBIGene:183,AGT,MONDO:0018840,isolated congenital hepatic fibrosis,0.23085690100083772
50,NCBIGene:5465,PPARA,NCBIGene:7040,TGFB1,MONDO:0018840,isolated congenital hepatic fibrosis,0.22155127826525
51,NCBIGene:5465,PPARA,NCBIGene:7040,TGFB1,MONDO:0018840,isolated congenital hepatic fibrosis,0.22155127826525
52,NCBIGene:5465,PPARA,NCBIGene:7040,TGFB1,MONDO:0018840,isolated congenital hepatic fibrosis,0.22155127826525
53,NCBIGene:5465,PPARA,NCBIGene:7040,TGFB1,MONDO:0018840,isolated congenital hepatic fibrosis,0.22155127826525
54,NCBIGene:5465,PPARA,NCBIGene:7046,TGFBR1,HP:0001395,Hepatic fibrosis,0.22027802338555258
55,NCBIGene:5465,PPARA,NCBIGene:7046,TGFBR1,HP:0001395,Hepatic fibrosis,0.22027802338555258
56,NCBIGene:5465,PPARA,NCBIGene:1499,CTNNB1,HP:0001395,Hepatic fibrosis,0.2200574404306728
57,NCBIGene:5465,PPARA,NCBIGene:1499,CTNNB1,HP:0001395,Hepatic fibrosis,0.2200574404306728
58,NCBIGene:5465,PPARA,NCBIGene:7057,THBS1,MONDO:0018840,isolated congenital hepatic fibrosis,0.2155686840369677
59,NCBIGene:5465,PPARA,NCBIGene:7057,THBS1,MONDO:0018840,isolated congenital hepatic fibrosis,0.2155686840369677
60,NCBIGene:5465,PPARA,NCBIGene:7057,THBS1,MONDO:0018840,isolated congenital hepatic fibrosis,0.2155686840369677
61,NCBIGene:5465,PPARA,NCBIGene:7057,THBS1,MONDO:0018840,isolated congenital hepatic fibrosis,0.2155686840369677
62,NCBIGene:5465,PPARA,NCBIGene:5972,REN,MONDO:0018840,isolated congenital hepatic fibrosis,0.2110821754124904
63,NCBIGene:5465,PPARA,NCBIGene:5972,REN,MONDO:0018840,isolated congenital hepatic fibrosis,0.2110821754124904
64,NCBIGene:5465,PPARA,NCBIGene:5972,REN,MONDO:0018840,isolated congenital hepatic fibrosis,0.2110821754124904
65,NCBIGene:5465,PPARA,NCBIGene:5972,REN,MONDO:0018840,isolated congenital hepatic fibrosis,0.2110821754124904
66,NCBIGene:5465,PPARA,NCBIGene:5314,PKHD1,MONDO:0018840,isolated congenital hepatic fibrosis,0.20352552483597963
67,NCBIGene:5465,PPARA,NCBIGene:5314,PKHD1,MONDO:0018840,isolated congenital hepatic fibrosis,0.20352552483597963
68,NCBIGene:5465,PPARA,NCBIGene:5314,PKHD1,MONDO:0018840,isolated congenital hepatic fibrosis,0.20352552483597963
69,NCBIGene:5465,PPARA,NCBIGene:5314,PKHD1,MONDO:0018840,isolated congenital hepatic fibrosis,0.20352552483597963
70,NCBIGene:5465,PPARA,NCBIGene:7057,THBS1,HP:0001395,Hepatic fibrosis,0.19774648638030232
71,NCBIGene:5465,PPARA,NCBIGene:7057,THBS1,HP:0001395,Hepatic fibrosis,0.19774648638030232
72,NCBIGene:5465,PPARA,NCBIGene:5244,ABCB4,HP:0001395,Hepatic fibrosis,0.1917721040425905
73,NCBIGene:5465,PPARA,NCBIGene:5244,ABCB4,HP:0001395,Hepatic fibrosis,0.1917721040425905
74,UniProtKB:Q07869-1,peroxisome proliferator-activated receptor alpha isoform 1 (human),NCBIGene:6347,CCL2,HP:0001395,Hepatic fibrosis,0.19129182485964522
75,UniProtKB:Q07869-1,peroxisome proliferator-activated receptor alpha isoform 1 (human),NCBIGene:6347,CCL2,HP:0001395,Hepatic fibrosis,0.19129182485964522
76,UniProtKB:Q07869-1,peroxisome proliferator-activated receptor alpha isoform 1 (human),NCBIGene:2147,F2,HP:0001395,Hepatic fibrosis,0.1911503401300746
77,UniProtKB:Q07869-1,peroxisome proliferator-activated receptor alpha isoform 1 (human),NCBIGene:2147,F2,HP:0001395,Hepatic fibrosis,0.1911503401300746
78,NCBIGene:5465,PPARA,NCBIGene:1278,COL1A2,HP:0001395,Hepatic fibrosis,0.18198557902194057
79,NCBIGene:5465,PPARA,NCBIGene:1278,COL1A2,HP:0001395,Hepatic fibrosis,0.18198557902194057
80,NCBIGene:5465,PPARA,NCBIGene:5328,PLAU,HP:0001395,Hepatic fibrosis,0.17647776885579775
81,NCBIGene:5465,PPARA,NCBIGene:5328,PLAU,HP:0001395,Hepatic fibrosis,0.17647776885579775
82,NCBIGene:5465,PPARA,NCBIGene:2149,F2R,HP:0001395,Hepatic fibrosis,0.1716917150118605
83,NCBIGene:5465,PPARA,NCBIGene:2149,F2R,HP:0001395,Hepatic fibrosis,0.1716917150118605
84,NCBIGene:5465,PPARA,NCBIGene:408,ARRB1,HP:0001395,Hepatic fibrosis,0.17076459930242152
85,NCBIGene:5465,PPARA,NCBIGene:408,ARRB1,HP:0001395,Hepatic fibrosis,0.17076459930242152
86,NCBIGene:5465,PPARA,NCBIGene:2321,FLT1,HP:0001395,Hepatic fibrosis,0.16603764126492981
87,NCBIGene:5465,PPARA,NCBIGene:2321,FLT1,HP:0001395,Hepatic fibrosis,0.16603764126492981
88,NCBIGene:5465,PPARA,NCBIGene:2247,FGF2,HP:0001395,Hepatic fibrosis,0.16533412229684552
89,NCBIGene:5465,PPARA,NCBIGene:2247,FGF2,HP:0001395,Hepatic fibrosis,0.16533412229684552
90,NCBIGene:5465,PPARA,NCBIGene:405,ARNT,HP:0001395,Hepatic fibrosis,0.16103121738098714
91,NCBIGene:5465,PPARA,NCBIGene:405,ARNT,HP:0001395,Hepatic fibrosis,0.16103121738098714
92,NCBIGene:5465,PPARA,NCBIGene:3956,LGALS1,HP:0001395,Hepatic fibrosis,0.15933634170054536
93,NCBIGene:5465,PPARA,NCBIGene:3956,LGALS1,HP:0001395,Hepatic fibrosis,0.15933634170054536
94,UniProtKB:Q07869-1,peroxisome proliferator-activated receptor alpha isoform 1 (human),NCBIGene:1356,CP,HP:0001395,Hepatic fibrosis,0.15423604012741834
95,UniProtKB:Q07869-1,peroxisome proliferator-activated receptor alpha isoform 1 (human),NCBIGene:1356,CP,HP:0001395,Hepatic fibrosis,0.15423604012741834
96,NCBIGene:5465,PPARA,NCBIGene:4864,NPC1,HP:0001395,Hepatic fibrosis,0.15265851552131812
97,NCBIGene:5465,PPARA,NCBIGene:4864,NPC1,HP:0001395,Hepatic fibrosis,0.15265851552131812
98,NCBIGene:5465,PPARA,NCBIGene:1269,CNR2,HP:0001395,Hepatic fibrosis,0.1470879755166352
99,NCBIGene:5465,PPARA,NCBIGene:1269,CNR2,HP:0001395,Hepatic fibrosis,0.1470879755166352
100,NCBIGene:5465,PPARA,NCBIGene:9104,RGN,HP:0001395,Hepatic fibrosis,0.1461758579879176
101,NCBIGene:5465,PPARA,NCBIGene:9104,RGN,HP:0001395,Hepatic fibrosis,0.1461758579879176
102,NCBIGene:5465,PPARA,NCBIGene:6927,HNF1A,MONDO:0018840,isolated congenital hepatic fibrosis,0.1457399297925922
103,NCBIGene:5465,PPARA,NCBIGene:6927,HNF1A,MONDO:0018840,isolated congenital hepatic fibrosis,0.1457399297925922
104,NCBIGene:5465,PPARA,NCBIGene:6927,HNF1A,MONDO:0018840,isolated congenital hepatic fibrosis,0.1457399297925922
105,NCBIGene:5465,PPARA,NCBIGene:6927,HNF1A,MONDO:0018840,isolated congenital hepatic fibrosis,0.1457399297925922
106,NCBIGene:5465,PPARA,NCBIGene:4763,NF1,MONDO:0018840,isolated congenital hepatic fibrosis,0.1435707207839985
107,NCBIGene:5465,PPARA,NCBIGene:4763,NF1,MONDO:0018840,isolated congenital hepatic fibrosis,0.1435707207839985
108,NCBIGene:5465,PPARA,NCBIGene:4763,NF1,MONDO:0018840,isolated congenital hepatic fibrosis,0.1435707207839985
109,NCBIGene:5465,PPARA,NCBIGene:4763,NF1,MONDO:0018840,isolated congenital hepatic fibrosis,0.1435707207839985
110,UniProtKB:Q07869-1,peroxisome proliferator-activated receptor alpha isoform 1 (human),NCBIGene:183,AGT,MONDO:0018840,isolated congenital hepatic fibrosis,0.14187935354020637
111,UniProtKB:Q07869-1,peroxisome proliferator-activated receptor alpha isoform 1 (human),NCBIGene:183,AGT,MONDO:0018840,isolated congenital hepatic fibrosis,0.14187935354020637
112,UniProtKB:Q07869-1,peroxisome proliferator-activated receptor alpha isoform 1 (human),NCBIGene:183,AGT,MONDO:0018840,isolated congenital hepatic fibrosis,0.14187935354020637
113,UniProtKB:Q07869-1,peroxisome proliferator-activated receptor alpha isoform 1 (human),NCBIGene:183,AGT,MONDO:0018840,isolated congenital hepatic fibrosis,0.14187935354020637
114,NCBIGene:5465,PPARA,NCBIGene:7431,VIM,HP:0001395,Hepatic fibrosis,0.141469834476218
115,NCBIGene:5465,PPARA,NCBIGene:7431,VIM,HP:0001395,Hepatic fibrosis,0.141469834476218
116,UniProtKB:Q07869-1,peroxisome proliferator-activated receptor alpha isoform 1 (human),NCBIGene:4015,LOX,HP:0001395,Hepatic fibrosis,0.13359705102363795
117,UniProtKB:Q07869-1,peroxisome proliferator-activated receptor alpha isoform 1 (human),NCBIGene:4015,LOX,HP:0001395,Hepatic fibrosis,0.13359705102363795
118,NCBIGene:5465,PPARA,MONDO:0005154,liver disorder,HP:0012852,Hepatic bridging fibrosis,0.12517496841793518
119,NCBIGene:5465,PPARA,MONDO:0005154,liver disorder,HP:0012852,Hepatic bridging fibrosis,0.12517496841793518
120,NCBIGene:5465,PPARA,MONDO:0005154,liver disorder,MONDO:0100430,fibrotic liver disease,0.12316419073212614
121,NCBIGene:5465,PPARA,MONDO:0005154,liver disorder,MONDO:0100430,fibrotic liver disease,0.12316419073212614
122,UniProtKB:Q07869-1,peroxisome proliferator-activated receptor alpha isoform 1 (human),NCBIGene:183,AGT,HP:0001395,Hepatic fibrosis,0.12261430379938318
123,UniProtKB:Q07869-1,peroxisome proliferator-activated receptor alpha isoform 1 (human),NCBIGene:183,AGT,HP:0001395,Hepatic fibrosis,0.12261430379938318
124,UniProtKB:Q07869-1,peroxisome proliferator-activated receptor alpha isoform 1 (human),NCBIGene:1593,CYP27A1,HP:0001395,Hepatic fibrosis,0.11829688463996339
125,UniProtKB:Q07869-1,peroxisome proliferator-activated receptor alpha isoform 1 (human),NCBIGene:1593,CYP27A1,HP:0001395,Hepatic fibrosis,0.11829688463996339
126,UniProtKB:Q07869-1,peroxisome proliferator-activated receptor alpha isoform 1 (human),NCBIGene:120227,CYP2R1,HP:0001395,Hepatic fibrosis,0.11536896337198811
127,UniProtKB:Q07869-1,peroxisome proliferator-activated receptor alpha isoform 1 (human),NCBIGene:120227,CYP2R1,HP:0001395,Hepatic fibrosis,0.11536896337198811
128,UniProtKB:Q07869-1,peroxisome proliferator-activated receptor alpha isoform 1 (human),NCBIGene:3875,KRT18,HP:0001395,Hepatic fibrosis,0.1132175131220243
129,UniProtKB:Q07869-1,peroxisome proliferator-activated receptor alpha isoform 1 (human),NCBIGene:3875,KRT18,HP:0001395,Hepatic fibrosis,0.1132175131220243
130,UniProtKB:Q07869-1,peroxisome proliferator-activated receptor alpha isoform 1 (human),NCBIGene:3484,IGFBP1,HP:0001395,Hepatic fibrosis,0.10557254762326608
131,UniProtKB:Q07869-1,peroxisome proliferator-activated receptor alpha isoform 1 (human),NCBIGene:3484,IGFBP1,HP:0001395,Hepatic fibrosis,0.10557254762326608
132,UniProtKB:Q07869-1,peroxisome proliferator-activated receptor alpha isoform 1 (human),NCBIGene:1269,CNR2,HP:0001395,Hepatic fibrosis,0.1045715684021125
133,UniProtKB:Q07869-1,peroxisome proliferator-activated receptor alpha isoform 1 (human),NCBIGene:1269,CNR2,HP:0001395,Hepatic fibrosis,0.1045715684021125
134,UniProtKB:Q07869-1,peroxisome proliferator-activated receptor alpha isoform 1 (human),NCBIGene:866,SERPINA6,HP:0001395,Hepatic fibrosis,0.0986867802356642
135,UniProtKB:Q07869-1,peroxisome proliferator-activated receptor alpha isoform 1 (human),NCBIGene:866,SERPINA6,HP:0001395,Hepatic fibrosis,0.0986867802356642
