n02,n02_name,n01,n01_name,Count,number_genes
EFO:0004612,high density lipoprotein cholesterol measurement,NCBIGene:4864,NPC1,9,15
EFO:0004612,high density lipoprotein cholesterol measurement,NCBIGene:405,ARNT,8,15
EFO:0004612,high density lipoprotein cholesterol measurement,NCBIGene:7422,VEGFA,6,15
EFO:0004612,high density lipoprotein cholesterol measurement,NCBIGene:2147,F2,5,15
EFO:0004612,high density lipoprotein cholesterol measurement,NCBIGene:7040,TGFB1,5,15
EFO:0004530,triglyceride measurement,NCBIGene:7040,TGFB1,4,15
EFO:0004612,high density lipoprotein cholesterol measurement,NCBIGene:120227,CYP2R1,3,15
EFO:0004612,high density lipoprotein cholesterol measurement,NCBIGene:1593,CYP27A1,2,15
EFO:0004612,high density lipoprotein cholesterol measurement,NCBIGene:4088,SMAD3,2,15
EFO:0004612,high density lipoprotein cholesterol measurement,NCBIGene:4780,NFE2L2,2,15
EFO:0004530,triglyceride measurement,NCBIGene:120227,CYP2R1,2,15
EFO:0004530,triglyceride measurement,NCBIGene:6927,HNF1A,2,15
EFO:0004612,high density lipoprotein cholesterol measurement,NCBIGene:7431,VIM,1,15
EFO:0004612,high density lipoprotein cholesterol measurement,NCBIGene:183,AGT,1,15
EFO:0004612,high density lipoprotein cholesterol measurement,NCBIGene:4763,NF1,1,15
EFO:0004612,high density lipoprotein cholesterol measurement,NCBIGene:5314,PKHD1,1,15
EFO:0004612,high density lipoprotein cholesterol measurement,NCBIGene:4313,MMP2,1,15
EFO:0004530,triglyceride measurement,NCBIGene:2321,FLT1,1,15
EFO:0004530,triglyceride measurement,NCBIGene:4088,SMAD3,1,15
EFO:0004530,triglyceride measurement,NCBIGene:3082,HGF,1,15
EFO:0004530,triglyceride measurement,NCBIGene:4763,NF1,1,15
EFO:0004530,triglyceride measurement,NCBIGene:7431,VIM,1,15
EFO:0004530,triglyceride measurement,NCBIGene:2147,F2,1,15
EFO:0004530,triglyceride measurement,NCBIGene:183,AGT,1,15
EFO:0004530,triglyceride measurement,NCBIGene:408,ARRB1,1,15
EFO:0009270,heel bone mineral density,NCBIGene:1277,COL1A1,19,14
EFO:0009270,heel bone mineral density,NCBIGene:7040,TGFB1,12,14
EFO:0009270,heel bone mineral density,NCBIGene:4088,SMAD3,8,14
EFO:0006335,systolic blood pressure,NCBIGene:183,AGT,6,14
EFO:0009270,heel bone mineral density,NCBIGene:6696,SPP1,4,14
EFO:0009270,heel bone mineral density,NCBIGene:4313,MMP2,3,14
EFO:0009270,heel bone mineral density,NCBIGene:405,ARNT,3,14
EFO:0006335,systolic blood pressure,NCBIGene:4088,SMAD3,2,14
EFO:0006335,systolic blood pressure,NCBIGene:7422,VEGFA,2,14
EFO:0006335,systolic blood pressure,NCBIGene:7040,TGFB1,2,14
EFO:0006335,systolic blood pressure,NCBIGene:5972,REN,2,14
EFO:0006335,systolic blood pressure,NCBIGene:3956,LGALS1,2,14
EFO:0009270,heel bone mineral density,NCBIGene:7422,VEGFA,2,14
EFO:0009270,heel bone mineral density,NCBIGene:4763,NF1,2,14
EFO:0009270,heel bone mineral density,NCBIGene:2147,F2,2,14
EFO:0009270,heel bone mineral density,NCBIGene:1278,COL1A2,2,14
EFO:0006335,systolic blood pressure,NCBIGene:2147,F2,1,14
EFO:0006335,systolic blood pressure,NCBIGene:6772,STAT1,1,14
EFO:0006335,systolic blood pressure,NCBIGene:2321,FLT1,1,14
EFO:0006335,systolic blood pressure,NCBIGene:1535,CYBA,1,14
EFO:0006335,systolic blood pressure,NCBIGene:5328,PLAU,1,14
EFO:0006335,systolic blood pressure,NCBIGene:4780,NFE2L2,1,14
EFO:0006335,systolic blood pressure,NCBIGene:1499,CTNNB1,1,14
EFO:0006335,systolic blood pressure,NCBIGene:6927,HNF1A,1,14
EFO:0009270,heel bone mineral density,NCBIGene:1535,CYBA,1,14
EFO:0009270,heel bone mineral density,NCBIGene:5328,PLAU,1,14
EFO:0009270,heel bone mineral density,NCBIGene:1499,CTNNB1,1,14
EFO:0009270,heel bone mineral density,NCBIGene:1593,CYP27A1,1,14
EFO:0004340,body mass index,NCBIGene:5314,PKHD1,17,13
EFO:0004340,body mass index,NCBIGene:4864,NPC1,11,13
EFO:0004526,mean corpuscular volume,NCBIGene:6927,HNF1A,10,13
EFO:0004736,aspartate aminotransferase measurement,NCBIGene:7431,VIM,5,13
EFO:0004736,aspartate aminotransferase measurement,NCBIGene:405,ARNT,4,13
EFO:0004526,mean corpuscular volume,NCBIGene:7040,TGFB1,4,13
EFO:0004340,body mass index,NCBIGene:2147,F2,3,13
EFO:0004340,body mass index,NCBIGene:1499,CTNNB1,3,13
EFO:0004736,aspartate aminotransferase measurement,NCBIGene:1535,CYBA,3,13
EFO:0004736,aspartate aminotransferase measurement,NCBIGene:3569,IL6,3,13
EFO:0004736,aspartate aminotransferase measurement,NCBIGene:5244,ABCB4,3,13
EFO:0004340,body mass index,NCBIGene:7422,VEGFA,2,13
EFO:0004340,body mass index,NCBIGene:5328,PLAU,2,13
EFO:0004340,body mass index,NCBIGene:4088,SMAD3,2,13
EFO:0004340,body mass index,NCBIGene:4763,NF1,2,13
EFO:0004340,body mass index,NCBIGene:1593,CYP27A1,2,13
EFO:0004736,aspartate aminotransferase measurement,NCBIGene:7422,VEGFA,2,13
EFO:0004736,aspartate aminotransferase measurement,NCBIGene:4864,NPC1,2,13
EFO:0004736,aspartate aminotransferase measurement,NCBIGene:4763,NF1,2,13
EFO:0004736,aspartate aminotransferase measurement,NCBIGene:7040,TGFB1,2,13
EFO:0004526,mean corpuscular volume,NCBIGene:1535,CYBA,2,13
EFO:0004526,mean corpuscular volume,NCBIGene:2321,FLT1,2,13
EFO:0004526,mean corpuscular volume,NCBIGene:1277,COL1A1,2,13
EFO:0004526,mean corpuscular volume,NCBIGene:3956,LGALS1,2,13
EFO:0004340,body mass index,NCBIGene:1356,CP,1,13
EFO:0004340,body mass index,NCBIGene:2247,FGF2,1,13
EFO:0004340,body mass index,NCBIGene:6696,SPP1,1,13
EFO:0004340,body mass index,NCBIGene:3956,LGALS1,1,13
EFO:0004736,aspartate aminotransferase measurement,NCBIGene:2149,F2R,1,13
EFO:0004736,aspartate aminotransferase measurement,NCBIGene:4088,SMAD3,1,13
EFO:0004736,aspartate aminotransferase measurement,NCBIGene:6927,HNF1A,1,13
EFO:0004736,aspartate aminotransferase measurement,NCBIGene:5314,PKHD1,1,13
EFO:0004526,mean corpuscular volume,NCBIGene:120227,CYP2R1,1,13
EFO:0004526,mean corpuscular volume,NCBIGene:1356,CP,1,13
EFO:0004526,mean corpuscular volume,NCBIGene:1269,CNR2,1,13
EFO:0004526,mean corpuscular volume,NCBIGene:7431,VIM,1,13
EFO:0004526,mean corpuscular volume,NCBIGene:7422,VEGFA,1,13
EFO:0004526,mean corpuscular volume,NCBIGene:4864,NPC1,1,13
EFO:0004526,mean corpuscular volume,NCBIGene:5244,ABCB4,1,13
EFO:0007789,BMI-adjusted waist circumference,NCBIGene:7422,VEGFA,25,12
MONDO:0005148,type 2 diabetes mellitus,NCBIGene:6927,HNF1A,14,12
EFO:0004696,sex hormone-binding globulin measurement,NCBIGene:6927,HNF1A,14,12
EFO:0007789,BMI-adjusted waist circumference,NCBIGene:4088,SMAD3,12,12
MONDO:0005148,type 2 diabetes mellitus,NCBIGene:7422,VEGFA,9,12
EFO:0004696,sex hormone-binding globulin measurement,NCBIGene:4763,NF1,9,12
MONDO:0005148,type 2 diabetes mellitus,NCBIGene:4763,NF1,7,12
MONDO:0100096,COVID-19,NCBIGene:6347,CCL2,6,12
EFO:0004696,sex hormone-binding globulin measurement,NCBIGene:3082,HGF,5,12
MONDO:0005148,type 2 diabetes mellitus,NCBIGene:5328,PLAU,4,12
MONDO:0100096,COVID-19,NCBIGene:1717,DHCR7,4,12
MONDO:0100096,COVID-19,NCBIGene:120227,CYP2R1,4,12
MONDO:0100096,COVID-19,NCBIGene:3956,LGALS1,3,12
EFO:0004696,sex hormone-binding globulin measurement,NCBIGene:7422,VEGFA,3,12
EFO:0007789,BMI-adjusted waist circumference,NCBIGene:7040,TGFB1,3,12
MONDO:0005148,type 2 diabetes mellitus,NCBIGene:5314,PKHD1,2,12
MONDO:0100096,COVID-19,NCBIGene:3569,IL6,2,12
EFO:0004696,sex hormone-binding globulin measurement,NCBIGene:4780,NFE2L2,2,12
EFO:0004696,sex hormone-binding globulin measurement,NCBIGene:4864,NPC1,2,12
EFO:0007789,BMI-adjusted waist circumference,NCBIGene:4864,NPC1,2,12
EFO:0007789,BMI-adjusted waist circumference,NCBIGene:6927,HNF1A,2,12
EFO:0007789,BMI-adjusted waist circumference,NCBIGene:2149,F2R,2,12
MONDO:0005148,type 2 diabetes mellitus,NCBIGene:7040,TGFB1,1,12
MONDO:0005148,type 2 diabetes mellitus,NCBIGene:1535,CYBA,1,12
MONDO:0005148,type 2 diabetes mellitus,NCBIGene:4088,SMAD3,1,12
MONDO:0005148,type 2 diabetes mellitus,NCBIGene:405,ARNT,1,12
MONDO:0005148,type 2 diabetes mellitus,NCBIGene:2147,F2,1,12
MONDO:0005148,type 2 diabetes mellitus,NCBIGene:4864,NPC1,1,12
MONDO:0005148,type 2 diabetes mellitus,NCBIGene:2247,FGF2,1,12
MONDO:0100096,COVID-19,NCBIGene:7422,VEGFA,1,12
MONDO:0100096,COVID-19,NCBIGene:6927,HNF1A,1,12
MONDO:0100096,COVID-19,NCBIGene:7040,TGFB1,1,12
MONDO:0100096,COVID-19,NCBIGene:6772,STAT1,1,12
MONDO:0100096,COVID-19,NCBIGene:1269,CNR2,1,12
MONDO:0100096,COVID-19,NCBIGene:7046,TGFBR1,1,12
MONDO:0100096,COVID-19,NCBIGene:1535,CYBA,1,12
EFO:0004696,sex hormone-binding globulin measurement,NCBIGene:1593,CYP27A1,1,12
EFO:0004696,sex hormone-binding globulin measurement,NCBIGene:4088,SMAD3,1,12
EFO:0004696,sex hormone-binding globulin measurement,NCBIGene:120227,CYP2R1,1,12
EFO:0004696,sex hormone-binding globulin measurement,NCBIGene:7046,TGFBR1,1,12
EFO:0004696,sex hormone-binding globulin measurement,NCBIGene:5314,PKHD1,1,12
EFO:0004696,sex hormone-binding globulin measurement,NCBIGene:405,ARNT,1,12
EFO:0007789,BMI-adjusted waist circumference,NCBIGene:1535,CYBA,1,12
EFO:0007789,BMI-adjusted waist circumference,NCBIGene:2321,FLT1,1,12
EFO:0007789,BMI-adjusted waist circumference,NCBIGene:2247,FGF2,1,12
EFO:0007789,BMI-adjusted waist circumference,NCBIGene:4780,NFE2L2,1,12
EFO:0007789,BMI-adjusted waist circumference,NCBIGene:7046,TGFBR1,1,12
EFO:0007789,BMI-adjusted waist circumference,NCBIGene:1593,CYP27A1,1,12
EFO:0007986,reticulocyte count,NCBIGene:1269,CNR2,50,11
MONDO:0005010,coronary artery disorder,NCBIGene:7040,TGFB1,19,11
EFO:0004309,platelet count,NCBIGene:4763,NF1,13,11
MONDO:0005010,coronary artery disorder,NCBIGene:2321,FLT1,11,11
EFO:0010700,"reticulocyte measurement""@e",NCBIGene:1269,CNR2,11,11
EFO:0004309,platelet count,NCBIGene:2149,F2R,10,11
EFO:0007986,reticulocyte count,NCBIGene:1535,CYBA,10,11
EFO:0007986,reticulocyte count,NCBIGene:6772,STAT1,10,11
EFO:0010700,"reticulocyte measurement""@e",NCBIGene:6772,STAT1,9,11
EFO:0004980,appendicular lean mass,NCBIGene:2321,FLT1,8,11
EFO:0007986,reticulocyte count,NCBIGene:7422,VEGFA,7,11
MONDO:0005010,coronary artery disorder,NCBIGene:6927,HNF1A,6,11
MONDO:0005010,coronary artery disorder,NCBIGene:4088,SMAD3,6,11
EFO:0004980,appendicular lean mass,NCBIGene:5328,PLAU,6,11
EFO:0006336,diastolic blood pressure,NCBIGene:183,AGT,5,11
EFO:0006336,diastolic blood pressure,NCBIGene:1593,CYP27A1,5,11
EFO:0006336,diastolic blood pressure,NCBIGene:7422,VEGFA,5,11
EFO:0004309,platelet count,NCBIGene:1535,CYBA,5,11
EFO:0004309,platelet count,NCBIGene:405,ARNT,5,11
EFO:0004980,appendicular lean mass,NCBIGene:6927,HNF1A,5,11
EFO:0006336,diastolic blood pressure,NCBIGene:5314,PKHD1,4,11
EFO:0007986,reticulocyte count,NCBIGene:2149,F2R,4,11
EFO:0004464,brain measurement,NCBIGene:2149,F2R,4,11
EFO:0004464,brain measurement,NCBIGene:7422,VEGFA,4,11
EFO:0010700,"reticulocyte measurement""@e",NCBIGene:1535,CYBA,4,11
MONDO:0005010,coronary artery disorder,NCBIGene:183,AGT,3,11
EFO:0004309,platelet count,NCBIGene:7040,TGFB1,3,11
EFO:0004309,platelet count,NCBIGene:3569,IL6,3,11
EFO:0004309,platelet count,NCBIGene:7431,VIM,3,11
EFO:0007986,reticulocyte count,NCBIGene:4864,NPC1,3,11
EFO:0010700,"reticulocyte measurement""@e",NCBIGene:2149,F2R,3,11
EFO:0010750,"PHF-tau measurement""@e",NCBIGene:1277,COL1A1,3,11
MONDO:0005010,coronary artery disorder,NCBIGene:7422,VEGFA,2,11
EFO:0006336,diastolic blood pressure,NCBIGene:7040,TGFB1,2,11
EFO:0006336,diastolic blood pressure,NCBIGene:4088,SMAD3,2,11
EFO:0004309,platelet count,NCBIGene:1277,COL1A1,2,11
EFO:0004309,platelet count,NCBIGene:7422,VEGFA,2,11
EFO:0007986,reticulocyte count,NCBIGene:1593,CYP27A1,2,11
EFO:0007986,reticulocyte count,NCBIGene:405,ARNT,2,11
EFO:0004464,brain measurement,NCBIGene:3956,LGALS1,2,11
EFO:0004464,brain measurement,NCBIGene:5314,PKHD1,2,11
EFO:0004464,brain measurement,NCBIGene:7057,THBS1,2,11
EFO:0010700,"reticulocyte measurement""@e",NCBIGene:4864,NPC1,2,11
EFO:0010700,"reticulocyte measurement""@e",NCBIGene:7422,VEGFA,2,11
EFO:0004980,appendicular lean mass,NCBIGene:4088,SMAD3,2,11
EFO:0004980,appendicular lean mass,NCBIGene:1278,COL1A2,2,11
MONDO:0005010,coronary artery disorder,NCBIGene:405,ARNT,1,11
MONDO:0005010,coronary artery disorder,NCBIGene:408,ARRB1,1,11
MONDO:0005010,coronary artery disorder,NCBIGene:5314,PKHD1,1,11
MONDO:0005010,coronary artery disorder,NCBIGene:6772,STAT1,1,11
MONDO:0005010,coronary artery disorder,NCBIGene:4864,NPC1,1,11
EFO:0006336,diastolic blood pressure,NCBIGene:2147,F2,1,11
EFO:0006336,diastolic blood pressure,NCBIGene:1535,CYBA,1,11
EFO:0006336,diastolic blood pressure,NCBIGene:2321,FLT1,1,11
EFO:0006336,diastolic blood pressure,NCBIGene:6927,HNF1A,1,11
EFO:0006336,diastolic blood pressure,NCBIGene:4780,NFE2L2,1,11
EFO:0004309,platelet count,NCBIGene:6927,HNF1A,1,11
EFO:0004309,platelet count,NCBIGene:5972,REN,1,11
EFO:0007986,reticulocyte count,NCBIGene:120227,CYP2R1,1,11
EFO:0007986,reticulocyte count,NCBIGene:5244,ABCB4,1,11
EFO:0007986,reticulocyte count,NCBIGene:7040,TGFB1,1,11
EFO:0004464,brain measurement,NCBIGene:408,ARRB1,1,11
EFO:0004464,brain measurement,NCBIGene:6927,HNF1A,1,11
EFO:0004464,brain measurement,NCBIGene:4763,NF1,1,11
EFO:0004464,brain measurement,NCBIGene:3082,HGF,1,11
EFO:0004464,brain measurement,NCBIGene:6772,STAT1,1,11
EFO:0004464,brain measurement,NCBIGene:1277,COL1A1,1,11
EFO:0010700,"reticulocyte measurement""@e",NCBIGene:7040,TGFB1,1,11
EFO:0010700,"reticulocyte measurement""@e",NCBIGene:6927,HNF1A,1,11
EFO:0010700,"reticulocyte measurement""@e",NCBIGene:5244,ABCB4,1,11
EFO:0010700,"reticulocyte measurement""@e",NCBIGene:405,ARNT,1,11
EFO:0010700,"reticulocyte measurement""@e",NCBIGene:120227,CYP2R1,1,11
EFO:0010750,"PHF-tau measurement""@e",NCBIGene:1717,DHCR7,1,11
EFO:0010750,"PHF-tau measurement""@e",NCBIGene:7040,TGFB1,1,11
EFO:0010750,"PHF-tau measurement""@e",NCBIGene:6696,SPP1,1,11
EFO:0010750,"PHF-tau measurement""@e",NCBIGene:6772,STAT1,1,11
EFO:0010750,"PHF-tau measurement""@e",NCBIGene:7422,VEGFA,1,11
EFO:0010750,"PHF-tau measurement""@e",NCBIGene:1278,COL1A2,1,11
EFO:0010750,"PHF-tau measurement""@e",NCBIGene:4780,NFE2L2,1,11
EFO:0010750,"PHF-tau measurement""@e",NCBIGene:4864,NPC1,1,11
EFO:0010750,"PHF-tau measurement""@e",NCBIGene:5244,ABCB4,1,11
EFO:0010750,"PHF-tau measurement""@e",NCBIGene:7431,VIM,1,11
EFO:0004980,appendicular lean mass,NCBIGene:4780,NFE2L2,1,11
EFO:0004980,appendicular lean mass,NCBIGene:5244,ABCB4,1,11
EFO:0004980,appendicular lean mass,NCBIGene:3956,LGALS1,1,11
EFO:0004980,appendicular lean mass,NCBIGene:6772,STAT1,1,11
EFO:0004980,appendicular lean mass,NCBIGene:4763,NF1,1,11
EFO:0004980,appendicular lean mass,NCBIGene:2147,F2,1,11
EFO:0004611,low density lipoprotein cholesterol measurement,NCBIGene:6927,HNF1A,18,10
EFO:0004574,total cholesterol measurement,NCBIGene:6927,HNF1A,16,10
EFO:0004735,serum alanine aminotransferase measurement,NCBIGene:5244,ABCB4,11,10
EFO:0004305,erythrocyte count,NCBIGene:7422,VEGFA,8,10
EFO:0004611,low density lipoprotein cholesterol measurement,NCBIGene:4763,NF1,6,10
EFO:0004574,total cholesterol measurement,NCBIGene:4763,NF1,5,10
EFO:0004574,total cholesterol measurement,NCBIGene:7431,VIM,5,10
EFO:0004735,serum alanine aminotransferase measurement,NCBIGene:4864,NPC1,4,10
EFO:0004611,low density lipoprotein cholesterol measurement,NCBIGene:5244,ABCB4,4,10
EFO:0004305,erythrocyte count,NCBIGene:1535,CYBA,4,10
EFO:0004305,erythrocyte count,NCBIGene:2149,F2R,4,10
EFO:0004529,lipid measurement,NCBIGene:6927,HNF1A,4,10
EFO:0010736,"cortical surface area measurement""@e",NCBIGene:7057,THBS1,4,10
EFO:0004735,serum alanine aminotransferase measurement,NCBIGene:7422,VEGFA,3,10
EFO:0004574,total cholesterol measurement,NCBIGene:7422,VEGFA,3,10
EFO:0004611,low density lipoprotein cholesterol measurement,NCBIGene:7431,VIM,3,10
EFO:0004611,low density lipoprotein cholesterol measurement,NCBIGene:7422,VEGFA,3,10
EFO:0004529,lipid measurement,NCBIGene:405,ARNT,3,10
EFO:0004735,serum alanine aminotransferase measurement,NCBIGene:6927,HNF1A,2,10
EFO:0004735,serum alanine aminotransferase measurement,NCBIGene:3569,IL6,2,10
EFO:0004574,total cholesterol measurement,NCBIGene:405,ARNT,2,10
EFO:0004305,erythrocyte count,NCBIGene:1593,CYP27A1,2,10
EFO:0004305,erythrocyte count,NCBIGene:7040,TGFB1,2,10
EFO:0004305,erythrocyte count,NCBIGene:1277,COL1A1,2,10
EFO:0004305,erythrocyte count,NCBIGene:1269,CNR2,2,10
EFO:0004305,erythrocyte count,NCBIGene:5972,REN,2,10
EFO:0004529,lipid measurement,NCBIGene:2247,FGF2,2,10
EFO:0004529,lipid measurement,NCBIGene:120227,CYP2R1,2,10
EFO:0004529,lipid measurement,NCBIGene:1593,CYP27A1,2,10
EFO:0004529,lipid measurement,NCBIGene:7422,VEGFA,2,10
EFO:0010736,"cortical surface area measurement""@e",NCBIGene:3082,HGF,2,10
EFO:0010736,"cortical surface area measurement""@e",NCBIGene:5314,PKHD1,2,10
EFO:0010736,"cortical surface area measurement""@e",NCBIGene:7422,VEGFA,2,10
EFO:0010736,"cortical surface area measurement""@e",NCBIGene:6772,STAT1,2,10
EFO:0010736,"cortical surface area measurement""@e",NCBIGene:3956,LGALS1,2,10
EFO:0010736,"cortical surface area measurement""@e",NCBIGene:6927,HNF1A,2,10
EFO:0004735,serum alanine aminotransferase measurement,NCBIGene:4088,SMAD3,1,10
EFO:0004735,serum alanine aminotransferase measurement,NCBIGene:7040,TGFB1,1,10
EFO:0004735,serum alanine aminotransferase measurement,NCBIGene:2321,FLT1,1,10
EFO:0004735,serum alanine aminotransferase measurement,NCBIGene:7057,THBS1,1,10
EFO:0004735,serum alanine aminotransferase measurement,NCBIGene:5314,PKHD1,1,10
EFO:0004574,total cholesterol measurement,NCBIGene:7040,TGFB1,1,10
EFO:0004574,total cholesterol measurement,NCBIGene:4088,SMAD3,1,10
EFO:0004574,total cholesterol measurement,NCBIGene:1593,CYP27A1,1,10
EFO:0004574,total cholesterol measurement,NCBIGene:3082,HGF,1,10
EFO:0004574,total cholesterol measurement,NCBIGene:5244,ABCB4,1,10
EFO:0004611,low density lipoprotein cholesterol measurement,NCBIGene:1593,CYP27A1,1,10
EFO:0004611,low density lipoprotein cholesterol measurement,NCBIGene:7040,TGFB1,1,10
EFO:0004611,low density lipoprotein cholesterol measurement,NCBIGene:4864,NPC1,1,10
EFO:0004611,low density lipoprotein cholesterol measurement,NCBIGene:4088,SMAD3,1,10
EFO:0004611,low density lipoprotein cholesterol measurement,NCBIGene:213,ALB,1,10
EFO:0004305,erythrocyte count,NCBIGene:5314,PKHD1,1,10
EFO:0004305,erythrocyte count,NCBIGene:4088,SMAD3,1,10
EFO:0004529,lipid measurement,NCBIGene:4313,MMP2,1,10
EFO:0004529,lipid measurement,NCBIGene:2321,FLT1,1,10
EFO:0004529,lipid measurement,NCBIGene:1490,CCN2,1,10
EFO:0004529,lipid measurement,NCBIGene:6696,SPP1,1,10
EFO:0010736,"cortical surface area measurement""@e",NCBIGene:2149,F2R,1,10
EFO:0010736,"cortical surface area measurement""@e",NCBIGene:1277,COL1A1,1,10
EFO:0010736,"cortical surface area measurement""@e",NCBIGene:2147,F2,1,10
EFO:0007788,BMI-adjusted waist-hip ratio,NCBIGene:7422,VEGFA,34,9
EFO:0007788,BMI-adjusted waist-hip ratio,NCBIGene:120227,CYP2R1,3,9
EFO:0007788,BMI-adjusted waist-hip ratio,NCBIGene:4088,SMAD3,3,9
EFO:0007788,BMI-adjusted waist-hip ratio,NCBIGene:6772,STAT1,3,9
EFO:0005689,non-high density lipoprotein cholesterol measurement,NCBIGene:6927,HNF1A,3,9
EFO:0007788,BMI-adjusted waist-hip ratio,NCBIGene:2247,FGF2,2,9
EFO:0007788,BMI-adjusted waist-hip ratio,NCBIGene:405,ARNT,2,9
EFO:0007788,BMI-adjusted waist-hip ratio,NCBIGene:2149,F2R,2,9
EFO:0005689,non-high density lipoprotein cholesterol measurement,NCBIGene:4763,NF1,2,9
EFO:0005689,non-high density lipoprotein cholesterol measurement,NCBIGene:7431,VIM,2,9
EFO:0007788,BMI-adjusted waist-hip ratio,NCBIGene:2321,FLT1,1,9
EFO:0007788,BMI-adjusted waist-hip ratio,NCBIGene:1593,CYP27A1,1,9
